9 1.9043247699737549 [131,32], free 1.0 [131,32], free 1.0
4 1.395721197128296 [43,27], free 1.0 [43,27], free 1.0
11 3.7132925987243652 [11,33], free 1.0 [11,33], free 1.0
6 1.4872653484344482 [9,47], free 1.0 [9,47], free 1.0
5 1.086634635925293 [21,9], free 1.0 [21,9], free 1.0
15 4.758852958679199 [29,11], free 1.0 [29,11], free 1.0
24 8.350762605667114 [104,53], free 1.0 [104,53], free 1.0
6 2.0498762130737305 [79,19], free 1.0 [79,19], free 1.0
18 5.624768495559692 [10,49], free 1.0 [10,49], free 1.0
25 8.04528522491455 [145,7], free 1.0 [145,7], free 1.0
15 4.9782068729400635 [45,35], free 1.0 [45,35], free 1.0
29 5.957277297973633 [29,41], free 1.0 [29,41], free 1.0
4 0.8106997013092041 [23,17], free 1.0 [23,17], free 1.0
12 2.5005087852478027 [125,51], free 1.0 [125,51], free 1.0
6 1.2863106727600098 [7,7], free 1.0 [7,7], free 1.0
7 1.4480412006378174 [31,17], free 1.0 [31,17], free 1.0
54 14.208775043487549 [73,5], free 1.0 [73,5], free 1.0
9 1.8638932704925537 [97,5], free 1.0 [97,5], free 1.0
6 1.2252116203308105 [30,53], free 1.0 [30,53], free 1.0
7 1.495328426361084 [130,31], free 1.0 [130,31], free 1.0
19 4.206610918045044 [89,16], free 1.0 [89,16], free 1.0
26 5.505014896392822 [109,53], free 1.0 [109,53], free 1.0
6 1.2617847919464111 [27,29], free 1.0 [27,29], free 1.0
9 1.8759245872497559 [53,45], free 1.0 [53,45], free 1.0
20 4.393263578414917 [75,14], free 1.0 [75,14], free 1.0
17 3.631904363632202 [6,45], free 1.0 [6,45], free 1.0
10 2.1461427211761475 [79,49], free 1.0 [79,49], free 1.0
34 10.794059991836548 [20,45], free 1.0 [20,45], free 1.0
11 3.099165678024292 [118,2], free 1.0 [118,2], free 1.0
13 2.82051420211792 [119,5], free 1.0 [119,5], free 1.0
15 4.295671463012695 [39,25], free 1.0 [39,25], free 1.0
2 0.6971297264099121 [131,13], free 1.0 [131,13], free 1.0
17 4.2953102588653564 [53,9], free 1.0 [53,9], free 1.0
8 2.3930208683013916 [103,43], free 1.0 [103,43], free 1.0
9 2.3451850414276123 [136,30], free 1.0 [136,30], free 1.0
18 5.455242156982422 [129,48], free 1.0 [129,48], free 1.0
5 1.1508588790893555 [133,47], free 1.0 [133,47], free 1.0
8 1.9152791500091553 [146,21], free 1.0 [146,21], free 1.0
9 2.2553112506866455 [57,15], free 1.0 [57,15], free 1.0
11 2.296830892562866 [23,3], free 1.0 [23,3], free 1.0
9 1.859231948852539 [91,36], free 1.0 [91,36], free 1.0
20 4.309032440185547 [51,19], free 1.0 [51,19], free 1.0
7 1.4455528259277344 [71,19], free 1.0 [71,19], free 1.0
19 3.96633243560791 [121,1], free 1.0 [121,1], free 1.0
6 1.286571741104126 [133,17], free 1.0 [133,17], free 1.0
12 2.505415678024292 [31,39], free 1.0 [31,39], free 1.0
4 0.8192307949066162 [13,13], free 1.0 [13,13], free 1.0
34 7.451165437698364 [148,27], free 1.0 [148,27], free 1.0
15 3.262953996658325 [117,31], free 1.0 [117,31], free 1.0
12 2.522592544555664 [49,25], free 1.0 [49,25], free 1.0
7 1.4648711681365967 [14,41], free 1.0 [14,41], free 1.0
3 0.6116719245910645 [139,22], free 1.0 [139,22], free 1.0
29 6.318722724914551 [41,45], free 1.0 [41,45], free 1.0
18 3.7572219371795654 [85,48], free 1.0 [85,48], free 1.0
27 7.431868553161621 [32,43], free 1.0 [32,43], free 1.0
6 1.3600401878356934 [143,7], free 1.0 [143,7], free 1.0
14 3.9643688201904297 [77,17], free 1.0 [77,17], free 1.0
6 1.8832159042358398 [87,25], free 1.0 [87,25], free 1.0
10 2.784367322921753 [55,25], free 1.0 [55,25], free 1.0
7 1.9345145225524902 [27,50], free 1.0 [27,50], free 1.0
21 5.141755104064941 [3,39], free 1.0 [3,39], free 1.0
16 3.8066177368164062 [39,47], free 1.0 [39,47], free 1.0
13 2.925081253051758 [107,8], free 1.0 [107,8], free 1.0
13 2.8785738945007324 [61,21], free 1.0 [61,21], free 1.0
12 2.8804118633270264 [144,48], free 1.0 [144,48], free 1.0
27 6.632387161254883 [141,1], free 1.0 [141,1], free 1.0
5 1.0920279026031494 [5,9], free 1.0 [5,9], free 1.0
25 5.633826017379761 [51,8], free 1.0 [51,8], free 1.0
11 2.3120315074920654 [152,44], free 1.0 [152,44], free 1.0
3 0.6444857120513916 [137,38], free 1.0 [137,38], free 1.0
15 3.107927083969116 [115,44], free 1.0 [115,44], free 1.0
16 3.2991180419921875 [80,42], free 1.0 [80,42], free 1.0
23 6.410166025161743 [49,36], free 1.0 [49,36], free 1.0
4 0.8782591819763184 [25,3], free 1.0 [25,3], free 1.0
10 3.3870410919189453 [44,23], free 1.0 [44,23], free 1.0
11 2.9913036823272705 [151,23], free 1.0 [151,23], free 1.0
7 1.6100876331329346 [143,37], free 1.0 [143,37], free 1.0
9 1.8877575397491455 [9,3], free 1.0 [9,3], free 1.0
20 4.411390781402588 [55,39], free 1.0 [55,39], free 1.0
19 3.9790332317352295 [151,7], free 1.0 [151,7], free 1.0
14 4.200247049331665 [135,25], free 1.0 [135,25], free 1.0
5 1.4623386859893799 [113,15], free 1.0 [113,15], free 1.0
6 1.3592076301574707 [93,27], free 1.0 [93,27], free 1.0
10 2.289491653442383 [121,53], free 1.0 [121,53], free 1.0
