14 2.99196529388428 [101,13], free 1 [101,13], free 1
9 2.72767114639282 [77,17], free 1 [77,17], free 1
23 4.8002872467041 [61,37], free 1 [61,37], free 1
4 0.895643949508667 [36,17], free 1 [36,17], free 1
17 5.90749359130859 [115,10], free 1 [115,10], free 1
7 1.59338235855103 [145,53], free 1 [145,53], free 1
9 1.92743015289307 [64,14], free 1 [64,14], free 1
5 1.07031226158142 [153,11], free 1 [153,11], free 1
8 1.68329191207886 [117,21], free 1 [117,21], free 1
16 3.33600330352783 [108,22], free 1 [108,22], free 1
11 2.29556679725647 [40,21], free 1 [40,21], free 1
2 0.422042846679688 [16,46], free 1 [16,46], free 1
9 1.88996553421021 [113,14], free 1 [113,14], free 1
45 9.6559374332428 [38,53], free 1 [38,53], free 1
16 3.37264561653137 [67,35], free 1 [67,35], free 1
18 3.79856252670288 [90,3], free 1 [90,3], free 1
9 1.86052656173706 [104,32], free 1 [104,32], free 1
3 0.614383459091187 [6,45], free 1 [6,45], free 1
15 3.12248873710632 [151,19], free 1 [151,19], free 1
10 2.11172318458557 [141,45], free 1 [141,45], free 1
5 1.07099795341492 [125,39], free 1 [125,39], free 1
6 1.34251809120178 [131,23], free 1 [131,23], free 1
15 3.33709216117859 [26,7], free 1 [26,7], free 1
9 1.90377235412598 [15,3], free 1 [15,3], free 1
11 2.33551859855652 [61,19], free 1 [61,19], free 1
9 1.87521576881409 [97,7], free 1 [97,7], free 1
18 3.83618807792664 [92,13], free 1 [92,13], free 1
7 1.43872880935669 [29,3], free 1 [29,3], free 1
15 3.08257508277893 [50,27], free 1 [50,27], free 1
9 1.84617471694946 [36,47], free 1 [36,47], free 1
15 3.09403204917908 [85,44], free 1 [85,44], free 1
10 2.08144474029541 [123,45], free 1 [123,45], free 1
12 2.50238823890686 [72,19], free 1 [72,19], free 1
7 1.45625329017639 [53,44], free 1 [53,44], free 1
13 2.73915815353394 [21,52], free 1 [21,52], free 1
20 4.41944456100464 [53,3], free 1 [53,3], free 1
7 1.63337540626526 [109,37], free 1 [109,37], free 1
21 4.44216799736023 [40,53], free 1 [40,53], free 1
4 0.838706016540527 [47,21], free 1 [47,21], free 1
29 6.24555611610413 [73,9], free 1 [73,9], free 1
12 2.52441358566284 [129,26], free 1 [129,26], free 1
19 4.01619863510132 [87,51], free 1 [87,51], free 1
18 4.15340781211853 [7,40], free 1 [7,40], free 1
15 4.51278209686279 [129,5], free 1 [129,5], free 1
8 1.91563057899475 [129,2], free 1 [129,2], free 1
4 0.881032228469849 [112,27], free 1 [112,27], free 1
8 1.68614292144775 [7,49], free 1 [7,49], free 1
10 2.1620044708252 [42,50], free 1 [42,50], free 1
