12 0.296489953994751 Robot: (30, 19, [1, 0, 1, 0]) Solution: [30, 19] [1, 0, 1, 0]
30 0.7235367298126221 Robot: (25, 9, [0, 0, 1, 1]) Solution: [25, 9] [0, 0, 1, 1]
14 0.340350866317749 Robot: (25, 25, [1, 1, 0, 0]) Solution: [25, 25] [1, 1, 0, 0]
31 0.751922607421875 Robot: (28, 37, [0, 0, 1, 0]) Solution: [28, 37] [0, 0, 1, 0]
31 0.7602903842926025 Robot: (11, 16, [0, 1, 0, 1]) Solution: [11, 16] [0, 1, 0, 1]
12 0.3083078861236572 Robot: (1, 9, [0, 0, 1, 1]) Solution: [1, 9] [0, 0, 1, 1]
12 0.3046867847442627 Robot: (13, 5, [0, 0, 1, 0]) Solution: [13, 5] [0, 0, 1, 0]
19 0.46979713439941406 Robot: (31, 20, [0, 1, 0, 1]) Solution: [31, 20] [0, 1, 0, 1]
12 0.28389430046081543 Robot: (12, 7, [0, 0, 1, 0]) Solution: [12, 7] [0, 0, 1, 0]
24 0.582467794418335 Robot: (29, 12, [0, 0, 0, 1]) Solution: [29, 12] [0, 0, 0, 1]
18 0.4315450191497803 Robot: (5, 35, [0, 1, 0, 0]) Solution: [5, 35] [0, 1, 0, 0]
23 0.5477280616760254 Robot: (7, 11, [0, 0, 1, 0]) Solution: [7, 11] [0, 0, 1, 0]
10 0.24479174613952637 Robot: (24, 16, [0, 0, 1, 0]) Solution: [24, 16] [0, 0, 1, 0]
23 0.5475425720214844 Robot: (5, 1, [1, 0, 0, 0]) Solution: [5, 1] [1, 0, 0, 0]
24 0.5652782917022705 Robot: (7, 16, [0, 1, 0, 0]) Solution: [7, 16] [0, 1, 0, 0]
18 0.4289095401763916 Robot: (5, 7, [0, 0, 1, 1]) Solution: [5, 7] [0, 0, 1, 1]
10 0.24396610260009766 Robot: (3, 22, [0, 0, 0, 0]) Solution: [3, 22] [0, 0, 0, 0]
10 0.24118423461914062 Robot: (23, 5, [1, 0, 1, 0]) Solution: [23, 5] [1, 0, 1, 0]
14 0.3316926956176758 Robot: (15, 1, [1, 0, 0, 1]) Solution: [15, 1] [1, 0, 0, 1]
11 0.2691507339477539 Robot: (29, 1, [1, 0, 0, 0]) Solution: [29, 1] [1, 0, 0, 0]
26 0.6373476982116699 Robot: (23, 1, [1, 0, 0, 0]) Solution: [23, 1] [1, 0, 0, 0]
19 0.46559643745422363 Robot: (10, 22, [0, 1, 0, 1]) Solution: [10, 22] [0, 1, 0, 1]
21 0.496868371963501 Robot: (23, 1, [1, 0, 0, 0]) Solution: [23, 1] [1, 0, 0, 0]
20 0.4877762794494629 Robot: (12, 9, [1, 0, 0, 0]) Solution: [12, 9] [1, 0, 0, 0]
12 0.28161096572875977 Robot: (2, 7, [0, 0, 1, 0]) Solution: [2, 7] [0, 0, 1, 0]
