13 0.28331446647644043 Robot: (5, 9, [1, 0, 0, 1]) Solution: [5, 9] [1, 0, 0, 1]
5 0.11825895309448242 Robot: (3, 26, [0, 0, 0, 0]) Solution: [3, 26] [0, 0, 0, 0]
13 0.2741539478302002 Robot: (13, 7, [1, 0, 0, 0]) Solution: [13, 7] [1, 0, 0, 0]
3 0.06527352333068848 Robot: (29, 9, [0, 0, 0, 1]) Solution: [29, 9] [0, 0, 0, 1]
5 0.10464644432067871 Robot: (9, 7, [0, 1, 0, 0]) Solution: [9, 7] [0, 1, 0, 0]
6 0.13224029541015625 Robot: (14, 15, [1, 0, 0, 0]) Solution: [14, 15] [1, 0, 0, 0]
4 0.09783530235290527 Robot: (19, 1, [1, 0, 1, 0]) Solution: [19, 1] [1, 0, 1, 0]
5 0.1396350860595703 Robot: (25, 25, [1, 1, 0, 0]) Solution: [25, 25] [1, 1, 0, 0]
4 0.0946664810180664 Robot: (4, 22, [1, 1, 1, 0]) Solution: [4, 22] [1, 1, 1, 0]
6 0.16938281059265137 Robot: (23, 17, [0, 1, 1, 0]) Solution: [23, 17] [0, 1, 1, 0]
4 0.09084439277648926 Robot: (19, 35, [1, 0, 1, 0]) Solution: [19, 35] [1, 0, 1, 0]
8 0.21712779998779297 Robot: (3, 23, [0, 1, 0, 0]) Solution: [3, 23] [0, 1, 0, 0]
4 0.15127086639404297 Robot: (14, 25, [1, 0, 0, 0]) Solution: [14, 25] [1, 0, 0, 0]
5 0.18236112594604492 Robot: (9, 19, [0, 0, 1, 1]) Solution: [9, 19] [0, 0, 1, 1]
11 0.2892148494720459 Robot: (1, 4, [0, 0, 0, 1]) Solution: [1, 4] [0, 0, 0, 1]
8 0.1941683292388916 Robot: (17, 5, [0, 1, 0, 1]) Solution: [17, 5] [0, 1, 0, 1]
7 0.15636396408081055 Robot: (13, 2, [0, 0, 0, 1]) Solution: [13, 2] [0, 0, 0, 1]
11 0.2474217414855957 Robot: (15, 7, [0, 0, 1, 0]) Solution: [15, 7] [0, 0, 1, 0]
7 0.15229320526123047 Robot: (24, 29, [1, 0, 1, 0]) Solution: [24, 29] [1, 0, 1, 0]
3 0.07017016410827637 Robot: (12, 35, [1, 0, 1, 0]) Solution: [12, 35] [1, 0, 1, 0]
2 0.05187630653381348 Robot: (1, 7, [0, 0, 0, 1]) Solution: [1, 7] [0, 0, 0, 1]
14 0.32064175605773926 Robot: (15, 11, [1, 0, 0, 0]) Solution: [15, 11] [1, 0, 0, 0]
14 0.29850172996520996 Robot: (17, 13, [0, 1, 0, 1]) Solution: [17, 13] [0, 1, 0, 1]
2 0.04349875450134277 Robot: (8, 33, [1, 0, 0, 0]) Solution: [8, 33] [1, 0, 0, 0]
10 0.21274018287658691 Robot: (4, 12, [1, 1, 0, 1]) Solution: [4, 12] [1, 1, 0, 1]
11 0.22915291786193848 Robot: (15, 25, [0, 0, 1, 0]) Solution: [15, 25] [0, 0, 1, 0]
10 0.2132091522216797 Robot: (27, 15, [1, 0, 0, 0]) Solution: [27, 15] [1, 0, 0, 0]
33 0.695716142654419 Robot: (4, 31, [1, 0, 1, 0]) Solution: [4, 31] [1, 0, 1, 0]
14 0.2911851406097412 Robot: (9, 28, [0, 0, 0, 1]) Solution: [9, 28] [0, 0, 0, 1]
8 0.17062163352966309 Robot: (12, 6, [0, 1, 0, 1]) Solution: [12, 6] [0, 1, 0, 1]
34 0.7278721332550049 Robot: (22, 24, [0, 0, 0, 0]) Solution: [22, 24] [0, 0, 0, 0]
5 0.10807538032531738 Robot: (25, 9, [0, 0, 1, 1]) Solution: [25, 9] [0, 0, 1, 1]
17 0.3665485382080078 Robot: (3, 22, [0, 0, 0, 0]) Solution: [3, 22] [0, 0, 0, 0]
8 0.17110919952392578 Robot: (29, 15, [0, 0, 1, 0]) Solution: [29, 15] [0, 0, 1, 0]
1 0.023183584213256836 Robot: (7, 18, [0, 1, 0, 0]) Solution: [7, 18] [0, 1, 0, 0]
20 0.4156312942504883 Robot: (11, 37, [0, 0, 1, 0]) Solution: [11, 37] [0, 0, 1, 0]
2 0.04482078552246094 Robot: (13, 29, [1, 0, 0, 0]) Solution: [13, 29] [1, 0, 0, 0]
8 0.1751694679260254 Robot: (9, 3, [0, 0, 0, 1]) Solution: [9, 3] [0, 0, 0, 1]
12 0.3447988033294678 Robot: (5, 6, [0, 0, 0, 1]) Solution: [5, 6] [0, 0, 0, 1]
8 0.2602207660675049 Robot: (17, 27, [1, 0, 0, 1]) Solution: [17, 27] [1, 0, 0, 1]
4 0.09951996803283691 Robot: (16, 31, [0, 0, 0, 0]) Solution: [16, 31] [0, 0, 0, 0]
11 0.23783588409423828 Robot: (10, 5, [1, 0, 1, 0]) Solution: [10, 5] [1, 0, 1, 0]
3 0.06501960754394531 Robot: (13, 23, [0, 0, 1, 0]) Solution: [13, 23] [0, 0, 1, 0]
4 0.08885908126831055 Robot: (9, 33, [1, 1, 0, 0]) Solution: [9, 33] [1, 1, 0, 0]
6 0.13274383544921875 Robot: (5, 24, [0, 1, 0, 0]) Solution: [5, 24] [0, 1, 0, 0]
3 0.06536674499511719 Robot: (1, 33, [1, 0, 0, 1]) Solution: [1, 33] [1, 0, 0, 1]
11 0.2403864860534668 Robot: (3, 31, [1, 0, 1, 0]) Solution: [3, 31] [1, 0, 1, 0]
