17 6.0885961055755615 Robot: (132, 4, [0, 0, 0, 1]) Solution: [132, 4] [0, 0, 0, 1]
14 4.684123516082764 Robot: (91, 47, [0, 0, 1, 1]) Solution: [91, 47] [0, 0, 1, 1]
10 2.1536972522735596 Robot: (107, 1, [1, 0, 0, 1]) Solution: [107, 1] [1, 0, 0, 1]
7 1.2930757999420166 Robot: (138, 52, [0, 1, 0, 1]) Solution: [138, 52] [0, 1, 0, 1]
12 2.209573984146118 Robot: (48, 30, [0, 0, 1, 1]) Solution: [48, 30] [0, 0, 1, 1]
30 5.492625951766968 Robot: (91, 1, [1, 0, 0, 0]) Solution: [91, 1] [1, 0, 0, 0]
23 4.473593235015869 Robot: (11, 15, [1, 1, 0, 0]) Solution: [11, 15] [1, 1, 0, 0]
9 1.762077808380127 Robot: (87, 21, [0, 1, 0, 1]) Solution: [87, 21] [0, 1, 0, 1]
2 0.3810081481933594 Robot: (29, 31, [1, 0, 0, 0]) Solution: [29, 31] [1, 0, 0, 0]
4 0.744384765625 Robot: (11, 33, [1, 1, 0, 0]) Solution: [11, 33] [1, 1, 0, 0]
10 1.9565565586090088 Robot: (102, 31, [1, 0, 1, 0]) Solution: [102, 31] [1, 0, 1, 0]
14 2.6843605041503906 Robot: (45, 1, [1, 0, 1, 0]) Solution: [45, 1] [1, 0, 1, 0]
11 2.0185482501983643 Robot: (133, 49, [0, 0, 0, 0]) Solution: [133, 49] [0, 0, 0, 0]
34 6.425814867019653 Robot: (8, 6, [1, 0, 1, 0]) Solution: [8, 6] [1, 0, 1, 0]
9 2.180551767349243 Robot: (139, 47, [1, 0, 1, 1]) Solution: [139, 47] [1, 0, 1, 1]
9 3.190218448638916 Robot: (3, 1, [1, 0, 0, 0]) Solution: [3, 1] [1, 0, 0, 0]
35 9.948490619659424 Robot: (125, 3, [0, 1, 0, 0]) Solution: [125, 3] [0, 1, 0, 0]
11 2.205540895462036 Robot: (95, 9, [0, 0, 1, 0]) Solution: [95, 9] [0, 0, 1, 0]
7 1.3510377407073975 Robot: (125, 33, [0, 0, 1, 0]) Solution: [125, 33] [0, 0, 1, 0]
5 1.0070805549621582 Robot: (128, 30, [1, 0, 1, 0]) Solution: [128, 30] [1, 0, 1, 0]
9 1.8426172733306885 Robot: (55, 35, [0, 0, 1, 1]) Solution: [55, 35] [0, 0, 1, 1]
21 4.1287031173706055 Robot: (10, 32, [0, 1, 0, 0]) Solution: [10, 32] [0, 1, 0, 0]
12 3.3257486820220947 Robot: (82, 32, [0, 0, 0, 1]) Solution: [82, 32] [0, 0, 0, 1]
8 2.851881742477417 Robot: (153, 1, [1, 1, 0, 0]) Solution: [153, 1] [1, 1, 0, 0]
17 4.752419948577881 Robot: (45, 27, [0, 0, 0, 0]) Solution: [45, 27] [0, 0, 0, 0]
